0.6	12.0
0.61	17.0
0.62	22.0
0.63	19.0
0.64	27.0
0.65	32.0
0.66	52.0
0.67	52.0
0.68	76.0
0.69	116.0
0.7	72.0
0.705	83.0
0.71	113.0
0.715	126.0
0.72	181.0
0.725	220.0
0.73	289.0
0.735	377.0
0.74	481.0
0.745	713.0
0.75	440.0
0.7525	539.0
0.755	631.0
0.7575	881.0
0.76	1045.0
0.7625	1373.0
0.765	1809.0
0.7675	2369.0
0.77	3225.0
0.7725	4299.0
0.775	5568.0
0.7775	6883.0
0.78	7618.0
0.7825	7833.0
0.785	7108.0
0.7875	5957.0
0.79	4715.0
0.7925	3580.0
0.795	2846.0
0.7975	2047.0
0.8	1608.0
0.8025	1216.0
0.805	995.0
0.8075	805.0
0.81	670.0
0.8125	586.0
0.815	531.0
0.8175	461.0
0.82	800.0
0.825	643.0
0.83	528.0
0.835	496.0
0.84	456.0
0.845	413.0
0.85	432.0
0.855	345.0
0.86	336.0
0.865	315.0
0.87	307.0
0.875	296.0
0.88	274.0
0.885	325.0
0.89	280.0
0.895	261.0
0.9	281.0
0.905	286.0
0.91	279.0
0.915	293.0
0.92	314.0
0.925	306.0
0.93	297.0
0.935	328.0
0.94	285.0
0.945	324.0
0.95	340.0
0.955	355.0
0.96	377.0
0.965	396.0
0.97	452.0
0.975	471.0
0.98	258.0
0.9825	278.0
0.985	320.0
0.9875	299.0
0.99	370.0
0.9925	419.0
0.995	512.0
0.9975	530.0
1.0	667.0
1.0025	817.0
1.005	1073.0
1.0075	1306.0
1.01	1735.0
1.0125	2011.0
1.015	2390.0
1.0175	2454.0
1.02	2213.0
1.0225	1815.0
1.025	1404.0
1.0275	992.0
1.03	623.0
1.0325	412.0
1.035	271.0
1.0375	200.0
1.04	144.0
1.0425	100.0
1.045	70.0
1.0475	62.0
1.05	105.0
1.055	87.0
1.06	111.0
1.065	112.0
1.07	108.0
1.075	109.0
1.08	275.0
1.09	317.0

